SA-DDPG,-0.008,-0.014,0.000,-0.698,-0.694,-0.710,0.648,0.410,0.548,0.466,0.386,0.464,-0.216,0.026,-0.236,0.992,0.930
SA-DDPG,-0.022,0.028,-0.066,-0.628,-0.666,-0.720,0.622,0.432,0.576,0.474,0.458,0.402,-0.274,-0.078,-0.328,0.996,0.918
SA-DDPG,0.070,0.122,-0.070,-0.678,-0.650,-0.736,0.676,0.506,0.588,0.544,0.426,0.392,-0.176,-0.098,-0.192,0.984,0.926
IL-DDPG,-0.698,-0.680,-0.704,-0.716,-0.734,-0.776,-0.018,-0.106,-0.028,-0.136,-0.244,-0.254,-0.678,-0.610,-0.670,0.298,0.152
IL-DDPG,-0.396,-0.442,-0.498,-0.706,-0.720,-0.710,0.108,0.000,0.056,-0.006,-0.162,-0.060,-0.512,-0.418,-0.484,0.492,0.334
IL-DDPG,-0.520,-0.522,-0.588,-0.688,-0.732,-0.792,0.048,-0.034,-0.022,-0.092,-0.146,-0.178,-0.574,-0.576,-0.582,0.222,0.192
IL-MADDPG,-0.478,-0.446,-0.498,-0.608,-0.624,-0.676,0.150,-0.016,0.020,0.004,-0.070,-0.016,-0.452,-0.424,-0.552,0.566,0.452
IL-MADDPG,-0.390,-0.350,-0.442,-0.632,-0.612,-0.642,0.272,0.082,0.106,0.096,0.000,-0.068,-0.428,-0.402,-0.396,0.652,0.590
IL-MADDPG,-0.442,-0.460,-0.508,-0.732,-0.674,-0.734,0.244,0.110,0.186,0.138,0.074,-0.006,-0.492,-0.432,-0.472,0.766,0.688
JAL-DDPG,0.178,0.292,0.236,-0.456,-0.426,-0.438,0.618,0.534,0.538,0.466,0.446,0.570,0.126,0.138,-0.046,0.970,0.968
JAL-DDPG,0.004,0.078,0.154,-0.552,-0.544,-0.662,0.554,0.370,0.530,0.504,0.426,0.376,-0.256,-0.022,-0.200,0.982,0.904
JAL-DDPG,0.242,0.368,0.166,-0.476,-0.482,-0.530,0.626,0.542,0.540,0.496,0.414,0.568,-0.016,0.166,0.062,0.990,0.954
RSA-DDPG,0.640,0.670,0.702,-0.016,0.004,0.114,0.708,0.706,0.680,0.684,0.664,0.696,0.520,0.586,0.500,0.990,0.958
RSA-DDPG,0.666,0.680,0.658,-0.006,0.024,-0.004,0.722,0.682,0.670,0.660,0.644,0.690,0.488,0.556,0.484,0.986,0.968
RSA-DDPG,0.724,0.728,0.782,-0.072,-0.072,-0.034,0.740,0.714,0.746,0.692,0.624,0.716,0.526,0.580,0.506,0.998,0.974
